english,language,handshape,twohands,handpart,mmvrepeated,dmvhandshape,dmvorientation,compound,domhand,twohandsC,mmvcrepeated,dmvchandshape,dmvcorientation,TwoH,PoA,PoA2,Mov,Mov2,Mov3,Mov4,Compounds,hist,geo,SL
other,English,1,false,tip,true,false,true,false,right,false,false,false,false,0,finger_fronts,hand,false true,Or_Change,false true,Or,0,BSL,WestEuro,BSL
person,English,L_nb,false,tip,false,false,false,false,right,false,false,false,false,0,Vertical,Vertical,Y_down,Y_down,Y_down false false,Y_down,0,BSL,WestEuro,BSL
pig,English,S,false,radial_side,false,false,false,false,right,false,false,false,false,0,nose,head,Z_front,Z_front,Z_front false false,Z_front,0,BSL,WestEuro,BSL
play,English,E,true,palm,true,false,false,false,right,false,false,false,false,1,Horizontal,Horizontal,Y_up,Y_up,Y_up false false,Y_up,0,BSL,WestEuro,BSL
rain,English,5,true,back_of_palm,false,true,false,false,right,false,false,false,false,1,eye,head,true false,Hs_Change,true false,Hs,0,BSL,WestEuro,BSL
red,English,1_nb,false,back_of_fingers,false,false,true,false,right,false,false,false,false,0,chin,head,false true,Or_Change,false true,Or,0,BSL,WestEuro,BSL
river,English,H,true,finger_fronts,true,false,false,false,right,false,false,false,false,1,Lateral,Lateral,Z_front,Z_front,Z_front false false,Z_front,0,BSL,WestEuro,BSL
salt,English,I,false,finger_fronts,false,false,false,true,right,false,true,false,false,0,finger_fronts,hand,Y_down,Y_down,Y_down false false,Y_down,1,BSL,WestEuro,BSL
sea,English,E,true,palm,false,false,true,false,right,false,false,false,false,1,Horizontal,Horizontal,X_right,X_right,X_right false true,X_right_Or,0,BSL,WestEuro,BSL
sharp,English,M_eb,false,tip,false,true,false,false,right,false,false,false,false,0,tip,hand,X_right,X_right,X_right true false,X_right_Hs,0,BSL,WestEuro,BSL
short,English,A,true,heel,false,false,false,false,right,false,false,false,false,1,Lateral,Lateral,X_left,X_left,X_left false false,X_left,0,BSL,WestEuro,BSL
singing,English,K,true,finger_fronts,false,false,false,false,right,false,false,false,false,1,mouth,head,Y_up,Y_up,Y_up false false,Y_up,0,BSL,WestEuro,BSL
sister,English,1_nb,false,radial_side,true,false,false,false,right,false,false,false,false,0,nose,head,Z_back,Z_back,Z_back false false,Z_back,0,BSL,WestEuro,BSL
sit,English,E,true,palm,false,false,false,false,right,false,false,false,false,1,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0,BSL,WestEuro,BSL
smooth,English,E,false,palm,false,false,false,false,right,false,false,false,false,0,palm,hand,X_right,X_right,X_right false false,X_right,0,BSL,WestEuro,BSL
snake,English,U_nb,false,back_of_palm,false,true,false,false,right,false,false,false,false,0,mouth,head,Z_front,Z_front,Z_front true false,Z_front_Hs,0,BSL,WestEuro,BSL
snow,English,5,true,finger_fronts,true,true,false,false,right,false,false,false,false,1,Vertical,Vertical,Y_down,Y_down,Y_down true false,Y_down_Hs,0,BSL,WestEuro,BSL
stand,English,V,false,tip,false,false,false,false,right,false,false,false,false,0,palm,hand,Y_down,Y_down,Y_down false false,Y_down,0,BSL,WestEuro,BSL
star,English,M_eb,false,tip,false,true,false,false,right,false,false,false,false,0,cheek,head,true false,Hs_Change,true false,Hs,0,BSL,WestEuro,BSL
stone,English,E_nb,false,palm,false,false,true,false,right,false,false,false,false,0,tip,hand,false true,Or_Change,false true,Or,0,BSL,WestEuro,BSL
string,English,L_enb,false,tip,false,true,false,false,right,false,false,false,false,0,tip,hand,X_right,X_right,X_right true false,X_right_Hs,0,BSL,WestEuro,BSL
sun,English,5_b,false,tip,false,true,false,false,right,false,false,false,false,0,top,head,Y_down,Y_down,Y_down true false,Y_down_Hs,0,BSL,WestEuro,BSL
tail,English,L_b,false,tip,false,false,false,false,right,false,false,false,false,0,waist,torso,Y_up,Y_up,Y_up false false,Y_up,0,BSL,WestEuro,BSL
thin,English,I,false,ulnar_side,false,false,false,false,right,false,false,false,false,0,Vertical,Vertical,Y_down,Y_down,Y_down false false,Y_down,0,BSL,WestEuro,BSL
tree,English,5,false,palm,false,false,true,false,right,false,false,false,false,0,Lateral,Lateral,false true,Or_Change,false true,Or,0,BSL,WestEuro,BSL
vomit,English,4,true,radial_side,false,false,true,false,right,false,true,false,false,1,below_chin,head,Y_down,Y_down,Y_down false true,Y_down_Or,1,BSL,WestEuro,BSL
warm,English,E,false,finger_fronts,true,false,false,false,right,false,false,false,false,0,mouth,head,X_left,X_left,X_left false false,X_left,0,BSL,WestEuro,BSL
water,English,1,false,tip,true,true,false,false,right,false,false,false,false,0,cheek,head,true false,Hs_Change,true false,Hs,0,BSL,WestEuro,BSL
wet,English,5_b,true,back_of_palm,true,true,false,false,right,false,false,false,false,1,Horizontal,Horizontal,Y_down,Y_down,Y_down true false,Y_down_Hs,0,BSL,WestEuro,BSL
what,English,1,false,finger_fronts,true,false,false,false,left,false,false,false,false,0,Vertical,Vertical,X_right,X_right,X_right false false,X_right,0,BSL,WestEuro,BSL
when,English,5,false,finger_fronts,true,true,false,false,left,false,false,false,false,0,cheek,head,true false,Hs_Change,true false,Hs,0,BSL,WestEuro,BSL
where,English,5,true,back_of_palm,true,false,false,false,right,false,false,false,false,1,Horizontal,Horizontal,X_left,X_left,X_left false false,X_left,0,BSL,WestEuro,BSL
white,English,L_eb,false,tip,false,false,true,false,right,false,false,false,false,0,Torso_top,torso,Y_down,Y_down,Y_down false true,Y_down_Or,0,BSL,WestEuro,BSL
who,English,1,false,tip,false,false,false,false,right,false,false,false,false,0,Horizontal,Horizontal,Z_front,Z_front,Z_front false false,Z_front,0,BSL,WestEuro,BSL
wide,English,E,true,palm,false,false,false,false,right,false,false,false,false,1,Lateral,Lateral,X_right,X_right,X_right false false,X_right,0,BSL,WestEuro,BSL
wife,English,L_eb,false,finger_fronts,false,false,false,false,right,false,false,false,false,0,radial_side,hand,X_left,X_left,X_left false false,X_left,0,BSL,WestEuro,BSL
wind,English,E,true,palm,true,false,true,false,right,false,false,false,false,1,Lateral,Lateral,X_right,X_right,X_right false true,X_right_Or,0,BSL,WestEuro,BSL
with,English,E,true,palm,false,true,true,false,right,false,false,false,false,1,Lateral,Lateral,X_left,X_left,X_left true true,X_left_Hs_Or,0,BSL,WestEuro,BSL
woman,English,1,false,radial_side,true,false,false,false,right,false,false,false,false,0,cheek,head,X_left,X_left,X_left false false,X_left,0,BSL,WestEuro,BSL
wood,English,A,false,tip,true,false,false,false,right,false,false,false,false,0,palm,hand,Y_down,Y_down,Y_down false false,Y_down,0,BSL,WestEuro,BSL
work,English,B,false,ulnar_side,true,false,false,false,left,false,false,false,false,0,radial_side,hand,Y_down,Y_down,Y_down false false,Y_down,0,BSL,WestEuro,BSL
worm,English,1,false,finger_fronts,false,true,false,false,right,false,false,false,false,0,Horizontal,Horizontal,X_left,X_left,X_left true false,X_left_Hs,0,BSL,WestEuro,BSL
year,English,1,true,tip,false,false,false,false,right,false,false,false,false,1,Lateral,Lateral,Z_front,Z_front,Z_front false false,Z_front,0,BSL,WestEuro,BSL
yellow,English,1,false,tip,false,false,false,false,right,false,false,false,false,0,radial_side,hand,Y_down,Y_down,Y_down false false,Y_down,0,BSL,WestEuro,BSL
all,German,5,true,radial_side,false,false,false,false,right,false,false,false,false,1,Lateral,Lateral,Y_down,Y_down,Y_down false false,Y_down,0,DGS,WestEuro,DGS
animal,German,5_nb,true,tip,true,false,false,false,right,false,false,false,false,1,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0,DGS,WestEuro,DGS
bad,German,E,false,palm,false,true,false,false,right,false,false,false,false,0,Vertical,Vertical,true false,Hs_Change,true false,Hs,0,DGS,WestEuro,DGS
because,German,1,false,tip,false,false,true,false,right,false,false,false,false,0,Vertical,Vertical,Y_down,Y_down,Y_down false true,Y_down_Or,0,DGS,WestEuro,DGS
bird,German,E,true,palm,true,false,true,false,right,false,false,false,false,1,Vertical,Vertical,false true,Or_Change,false true,Or,0,DGS,WestEuro,DGS
black,German,5_b,false,radial_side,false,true,false,false,right,false,false,false,false,0,forehead,head,X_left,X_left,X_left true false,X_left_Hs,0,DGS,WestEuro,DGS
blood,German,E,false,back_of_fingers,false,false,false,false,right,false,false,false,false,0,finger_fronts,hand,Y_down,Y_down,Y_down false false,Y_down,0,DGS,WestEuro,DGS
boring,German,A,false,tip,true,false,false,false,right,false,false,false,false,0,chin,head,X_right,X_right,X_right false false,X_right,0,DGS,WestEuro,DGS
brother,German,1,true,radial_side,true,false,false,false,right,false,false,false,false,1,Vertical,Vertical,X_left,X_left,X_left false false,X_left,0,DGS,WestEuro,DGS
bug,German,5_nb,false,tip,false,true,false,false,right,false,false,false,false,0,Horizontal,Horizontal,Z_front,Z_front,Z_front true false,Z_front_Hs,0,DGS,WestEuro,DGS
cat,German,L_eb,false,tip,true,false,false,false,right,false,false,false,false,0,cheek,head,X_right,X_right,X_right false false,X_right,0,DGS,WestEuro,DGS
child,German,E,false,palm,false,false,false,false,right,false,false,false,false,0,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0,DGS,WestEuro,DGS
correct,German,V,true,ulnar_side,false,false,false,false,right,false,false,false,false,1,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0,DGS,WestEuro,DGS
count,German,1,false,ulnar_side,true,false,false,false,right,false,false,false,false,0,radial_side,hand,Z_back,Z_back,Z_back false false,Z_back,0,DGS,WestEuro,DGS
dance,German,L_bnb,true,tip,true,false,false,false,right,false,false,false,false,1,Vertical,Vertical,Z_front,Z_front,Z_front false false,Z_front,0,DGS,WestEuro,DGS
day,German,E_bnb,false,tip,false,true,false,false,right,false,false,false,false,0,below_chin,head,Y_down,Y_down,Y_down true false,Y_down_Hs,0,DGS,WestEuro,DGS
die,German,E,false,back_of_palm,false,false,true,false,right,false,false,false,false,0,Horizontal,Horizontal,false true,Or_Change,false true,Or,0,DGS,WestEuro,DGS
