english,language,handshape,twohands,handpart,mmvrepeated,dmvhandshape,dmvorientation,compound,domhand,twohandsC,mmvcrepeated,dmvchandshape,dmvcorientation,TwoH,PoA,PoA2,Mov,Mov2,Mov3,Mov4,Compounds,hist,geo,SL
worm,Lithuanian,1,false,ulnar_side,true,true,false,false,right,false,false,false,false,0,Horizontal,Horizontal,X_left,X_left,X_left true false,X_left_Hs,0,RSL,EastEuro,LitSL
year,Lithuanian,A,true,tip,true,false,false,false,right,false,false,false,false,1,Lateral,Lateral,Y_up,Y_up,Y_up false false,Y_up,0,RSL,EastEuro,LitSL
yellow,Lithuanian,I,false,tip,true,false,true,false,right,false,false,false,false,0,cheek,head,false true,Or_Change,false true,Or,0,RSL,EastEuro,LitSL
all,Czech,5,true,radial_side,false,true,true,false,right,false,false,false,false,1,Lateral,Lateral,true true,Or_HS_Change,true true,Hs_Or,0,LSF,EastEuro,CzSL
animal,Czech,Y,true,radial_side,true,false,true,false,right,false,false,false,false,1,forehead,head,Z_front,Z_front,Z_front false true,Z_front_Or,0,LSF,EastEuro,CzSL
bad,Czech,B,false,finger_fronts,false,false,true,false,right,false,false,false,false,0,nose,head,Y_down,Y_down,Y_down false true,Y_down_Or,0,LSF,EastEuro,CzSL
because,Czech,L_nb,true,tip,false,false,false,false,right,false,false,false,false,1,Lateral,Lateral,X_right,X_right,X_right false false,X_right,0,LSF,EastEuro,CzSL
bird,Czech,L,false,back_of_palm,true,true,false,false,right,false,false,false,false,0,mouth,head,true false,Hs_Change,true false,Hs,0,LSF,EastEuro,CzSL
black,Czech,E,true,finger_fronts,false,false,false,false,right,false,false,false,false,1,forehead,head,Y_down,Y_down,Y_down false false,Y_down,0,LSF,EastEuro,CzSL
blood,Czech,1,false,tip,false,false,true,false,right,false,false,false,false,0,nose,head,Y_down,Y_down,Y_down false true,Y_down_Or,0,LSF,EastEuro,CzSL
boring,Czech,E,false,finger_fronts,true,false,false,false,right,false,false,false,false,0,chin,head,Z_back,Z_back,Z_back false false,Z_back,0,LSF,EastEuro,CzSL
brother,Czech,B_b,false,radial_side,false,false,false,false,right,true,true,false,false,0,forehead,head,Z_back,Z_back,Z_back false false,Z_back,1,LSF,EastEuro,CzSL
bug,Czech,1,false,finger_fronts,false,false,true,false,right,false,false,false,false,0,back_of_fingers,hand,Y_down,Y_down,Y_down false true,Y_down_Or,0,LSF,EastEuro,CzSL
cat,Czech,L_eb,true,tip,true,false,false,false,right,false,false,false,false,1,lip,head,X_right,X_right,X_right false false,X_right,0,LSF,EastEuro,CzSL
child,Czech,B_nb,false,finger_fronts,true,false,false,false,right,false,false,false,false,0,Horizontal,Horizontal,X_left,X_left,X_left false false,X_left,0,LSF,EastEuro,CzSL
correct,Czech,H,false,ulnar_side,false,false,true,false,right,false,false,false,false,0,radial_side,hand,Z_front,Z_front,Z_front false true,Z_front_Or,0,LSF,EastEuro,CzSL
count,Czech,5,true,back_of_palm,true,true,false,false,right,false,false,false,false,1,Vertical,Vertical,Y_up,Y_up,Y_up true false,Y_up_Hs,0,LSF,EastEuro,CzSL
dance,Czech,1,true,tip,true,false,true,false,right,false,false,false,false,1,Horizontal,Horizontal,false true,Or_Change,false true,Or,0,LSF,EastEuro,CzSL
day,Czech,L_enb,false,back_of_palm,false,false,false,false,right,false,false,false,false,0,Lateral,Lateral,X_right,X_right,X_right false false,X_right,0,LSF,EastEuro,CzSL
die,Czech,5,true,palm,false,false,false,false,right,false,false,false,false,1,Torso_top,torso,Z_back,Z_back,Z_back false false,Z_back,0,LSF,EastEuro,CzSL
dirty,Czech,5,false,tip,true,true,false,false,right,false,false,false,false,0,palm,hand,Z_back,Z_back,Z_back true false,Z_back_Hs,0,LSF,EastEuro,CzSL
dog,Czech,U_b,false,tip,false,false,false,false,right,false,false,false,false,0,chin,head,Y_down,Y_down,Y_down false false,Y_down,0,LSF,EastEuro,CzSL
dry,Czech,S_b,true,heel,false,false,false,false,right,false,false,false,false,1,Lateral,Lateral,X_left,X_left,X_left false false,X_left,0,LSF,EastEuro,CzSL
dust,Czech,5_nb,true,tip,true,false,false,false,right,false,false,false,false,1,Horizontal,Horizontal,X_right,X_right,X_right false false,X_right,1,LSF,EastEuro,CzSL
earth,Czech,S,false,heel,true,false,true,false,right,true,false,false,true,0,radial_side,hand,false true,Or_Change,false true,Or,1,LSF,EastEuro,CzSL
egg,Czech,1_nb,false,tip,true,true,false,false,right,false,false,false,false,0,chin,head,true false,Hs_Change,true false,Hs,0,LSF,EastEuro,CzSL
father,Czech,1_nb,false,radial_side,false,false,false,false,right,false,false,false,false,0,forehead,head,Y_down,Y_down,Y_down false false,Y_down,0,LSF,EastEuro,CzSL
feather,Czech,L_eb,true,tip,true,true,false,false,right,false,false,false,false,1,Lateral,Lateral,X_right,X_right,X_right true false,X_right_Hs,0,LSF,EastEuro,CzSL
fire,Czech,5,true,palm,true,false,true,false,right,false,false,false,false,1,Lateral,Lateral,Y_up,Y_up,Y_up false true,Y_up_Or,0,LSF,EastEuro,CzSL
fish,Czech,E,true,ulnar_side,true,false,true,false,right,false,false,false,false,1,Horizontal,Horizontal,false true,Or_Change,false true,Or,0,LSF,EastEuro,CzSL
flower,Czech,E_bnb,false,tip,true,true,false,false,right,false,false,false,false,0,nose,head,true false,Hs_Change,true false,Hs,0,LSF,EastEuro,CzSL
full,Czech,V,false,finger_fronts,false,false,false,false,right,false,false,false,false,0,radial_side,hand,Z_front,Z_front,Z_front false false,Z_front,0,LSF,EastEuro,CzSL
good,Czech,L_enb,false,palm,false,false,false,false,right,false,false,false,false,0,Horizontal,Horizontal,X_right,X_right,X_right false false,X_right,0,LSF,EastEuro,CzSL
grass,Czech,I,false,ulnar_side,true,false,false,false,right,false,false,false,false,0,ulnar_side,hand,Y_up,Y_up,Y_up false false,Y_up,0,LSF,EastEuro,CzSL
grease,Czech,B_b,false,finger_fronts,true,false,false,false,right,false,false,false,false,0,back_of_palm,hand,Z_front,Z_front,Z_front false false,Z_front,0,LSF,EastEuro,CzSL
green,Czech,H,false,radial_side,true,false,false,false,right,false,false,false,false,0,chin,head,X_left,X_left,X_left false false,X_left,0,LSF,EastEuro,CzSL
heavy,Czech,S_b,true,back_of_palm,false,false,false,false,right,false,false,false,false,1,Horizontal,Horizontal,Y_up,Y_up,Y_up false false,Y_up,0,LSF,EastEuro,CzSL
how,Czech,M_enb,false,tip,true,false,false,false,right,false,false,false,false,0,chin,head,Z_back,Z_back,Z_back false false,Z_back,1,LSF,EastEuro,CzSL
husband,Czech,E,true,palm,true,false,true,false,right,false,false,false,false,1,Horizontal,Horizontal,Y_up,Y_up,Y_up false true,Y_up_Or,0,LSF,EastEuro,CzSL
ice,Czech,B_b,false,ulnar_side,false,false,true,false,right,false,false,false,false,0,palm,hand,X_right,X_right,X_right false true,X_right_Or,0,LSF,EastEuro,CzSL
if,Czech,L_enb,false,tip,true,false,false,false,right,false,false,false,false,0,chin,head,Y_down,Y_down,Y_down false false,Y_down,0,LSF,EastEuro,CzSL
kill,Czech,1_b,false,radial_side,false,false,false,false,right,false,false,false,false,0,radial_side,hand,Y_up,Y_up,Y_up false false,Y_up,0,LSF,EastEuro,CzSL
laugh,Czech,V_nb,false,heel,true,false,false,false,right,false,false,false,false,0,mouth,head,X_left,X_left,X_left false false,X_left,0,LSF,EastEuro,CzSL
leaf,Czech,L_b,false,tip,false,true,true,false,right,false,false,false,false,0,tip,hand,X_right,X_right,X_right true true,X_right_Hs_Or,0,LSF,EastEuro,CzSL
lie,Czech,B,false,radial_side,true,false,false,false,right,false,false,false,false,0,chin,head,Z_back,Z_back,Z_back false false,Z_back,0,LSF,EastEuro,CzSL
live,Czech,E,false,radial_side,false,false,false,false,right,false,false,false,false,0,cheek,head,Z_back,Z_back,Z_back false false,Z_back,1,LSF,EastEuro,CzSL
long,Czech,1,true,tip,false,false,true,false,right,false,false,false,false,1,Lateral,Lateral,X_right,X_right,X_right false true,X_right_Or,0,LSF,EastEuro,CzSL
look_for,Czech,V,true,ulnar_side,true,false,false,false,right,false,false,false,false,1,Lateral,Lateral,Y_up,Y_up,Y_up false false,Y_up,0,LSF,EastEuro,CzSL
man,Czech,B_b,false,radial_side,false,false,false,false,right,false,false,false,false,0,chin,head,Y_down,Y_down,Y_down false false,Y_down,0,LSF,EastEuro,CzSL
meat,Czech,S_b,false,finger_fronts,true,true,false,false,right,false,false,false,false,0,ulnar_side,hand,Y_down,Y_down,Y_down true false,Y_down_Hs,0,LSF,EastEuro,CzSL
moon,Czech,A,false,tip,false,false,true,false,right,false,false,false,false,0,Lateral,Lateral,Y_down,Y_down,Y_down false true,Y_down_Or,0,LSF,EastEuro,CzSL
mother,Czech,1,false,radial_side,false,false,false,false,right,false,false,false,false,0,mouth,head,X_right,X_right,X_right false false,X_right,0,LSF,EastEuro,CzSL
mountain,Czech,Y,false,heel,true,false,false,false,right,false,false,false,false,0,Horizontal,Horizontal,X_left,X_left,X_left false false,X_left,0,LSF,EastEuro,CzSL
name,Czech,A,false,tip,false,false,true,false,right,false,false,false,false,0,forehead,head,X_right,X_right,X_right false true,X_right_Or,0,LSF,EastEuro,CzSL
narrow,Czech,E,true,palm,false,false,false,false,right,false,false,false,false,1,Lateral,Lateral,X_left,X_left,X_left false false,X_left,0,LSF,EastEuro,CzSL
new,Czech,B_b,false,back_of_fingers,false,false,false,false,right,false,false,false,false,0,finger_fronts,hand,Y_up,Y_up,Y_up false false,Y_up,0,LSF,EastEuro,CzSL
night,Czech,E,true,finger_fronts,false,false,false,false,right,false,false,false,false,1,forehead,head,Y_down,Y_down,Y_down false false,Y_down,0,LSF,EastEuro,CzSL
not,Czech,1,false,tip,false,false,true,false,right,false,false,false,false,0,palm,hand,false true,Or_Change,false true,Or,0,LSF,EastEuro,CzSL
old,Czech,B_b,false,tip,true,false,false,false,right,false,false,false,false,0,clavicle,torso,Z_back,Z_back,Z_back false false,Z_back,0,LSF,EastEuro,CzSL
other,Czech,1,false,tip,true,false,false,false,right,false,false,false,false,0,Vertical,Vertical,X_right,X_right,X_right false false,X_right,0,LSF,EastEuro,CzSL
person,Czech,M_enb,false,tip,true,false,false,false,right,false,false,false,false,0,Torso_top,torso,Z_back,Z_back,Z_back false false,Z_back,0,LSF,EastEuro,CzSL
pig,Czech,E,true,tip,true,false,false,false,right,false,false,false,false,1,Lateral,Lateral,X_left,X_left,X_left false false,X_left,0,LSF,EastEuro,CzSL
play,Czech,E_b,true,tip,true,false,false,false,right,false,false,false,false,1,Horizontal,Horizontal,Y_up,Y_up,Y_up false false,Y_up,0,LSF,EastEuro,CzSL
rain,Czech,5,true,palm,true,false,true,false,right,false,false,false,false,1,Horizontal,Horizontal,false true,Or_Change,false true,Or,0,LSF,EastEuro,CzSL
