english,idlang,language,handshape,twohands,handpart,pmv,mmvrepeated,dmvhandshape,dmvorientation,compound,domhand,twohandsC,TwoH,PoA,PoA2,Mov,Mov2,Mov3,Mov4,Compounds
who,7,Japanese,B_b,false,back_of_fingers,Z_front,true,false,false,false,right,false,0,cheek,head,Z_front,Z_front,Z_front false false,Z_front,0
wide,7,Japanese,E,true,back_of_palm,X_left,false,false,false,false,right,false,1,Lateral,Lateral,X_left,X_left,X_left false false,X_left,0
wife,7,Japanese,I,false,radial_side,X_left,false,false,false,false,right,false,0,Lateral,Lateral,X_left,X_left,X_left false false,X_left,0
wind,7,Japanese,5,true,palm,X_right,true,false,false,false,right,false,1,Vertical,Vertical,X_right,X_right,X_right false false,X_right,0
with,7,Japanese,L,true,finger_fronts,X_right,false,false,false,false,right,false,1,Horizontal,Horizontal,X_right,X_right,X_right false false,X_right,0
woman,7,Japanese,I,true,finger_fronts,Z_back,false,false,true,false,right,false,1,Vertical,Vertical,Z_back,Z_back,Z_back false true,Z_back_Or,0
wood,7,Japanese,L,true,radial_side,Y_up,false,false,true,false,right,false,1,Horizontal,Horizontal,Y_up,Y_up,Y_up false true,Y_up_Or,0
work,7,Japanese,B_b,true,palm,X_right,true,false,false,false,right,false,1,Horizontal,Horizontal,X_right,X_right,X_right false false,X_right,0
worm,7,Japanese,1,false,tip,X_right,false,false,false,false,left,false,0,Horizontal,Horizontal,X_right,X_right,X_right false false,X_right,0
year,7,Japanese,1,false,tip,Z_front,false,false,false,false,left,false,0,finger_fronts,hand,Z_front,Z_front,Z_front false false,Z_front,0
yellow,7,Japanese,L,false,tip,NA,true,true,false,false,right,false,0,Lateral,Lateral,true false,Hs_Change,true false,Hs,0
all,35,Chinese,S,false,back_of_fingers,Y_up,false,false,true,false,right,false,0,Lateral,Lateral,Y_up,Y_up,Y_up false true,Y_up_Or,1
animal,35,Chinese,S,false,finger_fronts,Z_back,true,false,false,false,right,false,0,Lateral,Lateral,Z_back,Z_back,Z_back false false,Z_back,1
bad,35,Chinese,I,false,ulnar_side,Z_front,false,false,false,false,right,false,0,Vertical,Vertical,Z_front,Z_front,Z_front false false,Z_front,0
because,35,Chinese,L_nb,false,tip,NA,false,false,true,false,right,false,0,Lateral,Lateral,false true,Or_Change,false true,Or,1
bird,35,Chinese,L_b,false,tip,NA,false,true,false,false,right,false,0,mouth,head,true false,Hs_Change,true false,Hs,0
black,35,Chinese,H,false,finger_fronts,Y_down,false,false,false,false,right,false,0,top,head,Y_down,Y_down,Y_down false false,Y_down,0
blood,35,Chinese,E,false,tip,Z_back,false,false,false,false,right,false,0,mouth,head,Z_back,Z_back,Z_back false false,Z_back,1
boring,35,Chinese,X,false,radial_side,NA,false,true,false,false,right,false,0,chin,head,true false,Hs_Change,true false,Hs,1
brother,35,Chinese,M,false,tip,Z_back,false,false,false,false,right,false,0,chin,head,Z_back,Z_back,Z_back false false,Z_back,1
bug,35,Chinese,E,false,palm,X_right,true,true,false,false,right,false,0,Lateral,Lateral,X_right,X_right,X_right true false,X_right_Hs,1
cat,35,Chinese,L_eb,false,tip,X_left,false,false,false,false,right,false,0,chin,head,X_left,X_left,X_left false false,X_left,0
child,35,Chinese,E,false,palm,Y_down,true,false,false,false,right,false,0,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0
correct,35,Chinese,E,false,radial_side,Z_front,true,false,false,false,right,false,0,Vertical,Vertical,Z_front,Z_front,Z_front false false,Z_front,0
count,35,Chinese,E_b,false,back_of_fingers,X_right,true,false,false,false,right,false,0,Lateral,Lateral,X_right,X_right,X_right false false,X_right,0
dance,35,Chinese,Y,false,tip,X_right,true,false,false,false,right,false,0,Horizontal,Horizontal,X_right,X_right,X_right false false,X_right,0
day,35,Chinese,E,false,palm,Y_down,false,false,false,false,right,false,0,back_of_palm,hand,Y_down,Y_down,Y_down false false,Y_down,1
die,35,Chinese,Y,false,tip,X_left,false,false,true,false,right,false,0,Horizontal,Horizontal,X_left,X_left,X_left false true,X_left_Or,0
dirty,35,Chinese,I,false,tip,X_left,true,false,false,false,right,false,0,back_of_palm,hand,X_left,X_left,X_left false false,X_left,0
dog,35,Chinese,5_nb,false,tip,Y_down,true,false,false,false,right,false,0,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0
dry,35,Chinese,1,false,finger_fronts,Y_down,false,false,false,false,right,false,0,finger_fronts,hand,Y_down,Y_down,Y_down false false,Y_down,0
dust,35,Chinese,U,false,finger_fronts,Y_down,false,false,false,false,right,false,0,cheek,head,Y_down,Y_down,Y_down false false,Y_down,1
earth,35,Chinese,1,false,tip,Y_down,false,false,false,false,right,false,0,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,1
egg,35,Chinese,3,false,tip,NA,false,false,true,false,right,false,0,Lateral,Lateral,false true,Or_Change,false true,Or,1
father,35,Chinese,A,false,radial_side,Z_back,false,false,false,false,right,false,0,mouth,head,Z_back,Z_back,Z_back false false,Z_back,0
feather,35,Chinese,5,false,finger_fronts,X_left,true,true,false,false,right,false,0,back_of_palm,hand,X_left,X_left,X_left true false,X_left_Hs,0
fire,35,Chinese,5,false,tip,Y_up,true,false,false,false,right,false,0,Horizontal,Horizontal,Y_up,Y_up,Y_up false false,Y_up,0
