"X","Language","Meaning","C1","V1","C2","V2"
257,"Tapayúna","THROW (PLURAL)","r","ẽ","j","∅"
258,"Tapayúna","TELL","j","a","r","ẽ"
259,"Tapayúna","LOOK","r","i","t","∅"
260,"Tapayúna","BASKET","k","u","t","ə"
261,"Tapayúna","BIG BIRD","t","ə","k","∅"
262,"Tapayúna","FALCON","t","ə","k","∅"
263,"Tapayúna","FIRE","k","u","t","y"
264,"Tapayúna","PAINT","t","ô","k","∅"
265,"Tapayúna","CHILD","kʰ","∅","ɾ","a"
266,"Tapayúna","LIE","t","ê","t","∅"
267,"Tapayúna","BITE","n","∅","t","a"
268,"Tapayúna","HANG (SINGULAR)","n","∅","t","ô"
269,"Tapayúna","ENTER (SINGULAR)","∅","a","t","ə"
270,"Tapayúna","BE SEATED (SINGULAR)","ñ","ỹ","r","∅"
271,"Tapayúna","TOOTH","t","∅","w","a"
272,"Tapayúna","PLACE LAYING DOWN (SINGULAR)","t","i","r","∅"
273,"Tapayúna","SWEET POTATO","j","ə̂","t","∅"
274,"Tapayúna","WHO","ñ","ũ","w","∅"
275,"Tapayúna","SING (BIRDS)","kʰ","ə","r","∅"
276,"Tapayúna","AXE","kʰ","ə","t","∅"
277,"Tapayúna","KNIFE","kʰ","ə","t","∅"
278,"Tapayúna","DRINK","∅","i","kʰ","õ"
279,"Tapayúna","THIRST","kʰ","ɔ","ɾ","∅"
280,"Tapayúna","EAT (PLURAL)","kʰ","u","ɾ","∅"
281,"Tapayúna","STONE","kʰ","ẽ","n","∅"
282,"Tapayúna","HAPPY","kʰ","ĩ","j","∅"
283,"Tapayúna","LIKE","kʰ","ĩ","j","∅"
284,"Tapayúna","HEAD","kʰ","∅","ɾ","ə̃"
285,"Tapayúna","COLD","kʰ","∅","ɾ","ɨ"
286,"Tapayúna","HOLE","kʰ","∅","ɾ","ɛ"
287,"Tapayúna","BE SITTING (PLURAL)","kʰ","∅","ɾ","ĩ"
288,"Tapayúna","SNAKE","k","a","ŋ","ə̃"
289,"Tapayúna","LIQUID","k","a","ŋ/g","ɔ"
290,"Tapayúna","DRY","ŋ/g","∅","ɾ","ə"
291,"Tapayúna","EGG","ŋ/g","∅","ɾ","ɛ"
292,"Tapayúna","VAGINA","ŋ/g","∅","ɾ","ɛ"
293,"Tapayúna","DANCE","ŋ/g","∅","ɾ","ɛ"
294,"Tapayúna","SING","ŋ/g","∅","ɾ","ɛ"
295,"Tapayúna","ROAST (PLURAL)","t","ə","ɾ","∅"
296,"Tapayúna","SLEEP","ŋ","õ","ɾ","∅"
297,"Parkatêjê","FARM","p","u","r","∅"
298,"Parkatêjê","FISH","t","e","p","∅"
299,"Parkatêjê","POUR","r","u","r","∅"
300,"Parkatêjê","PATH","p","∅","r","y"
301,"Parkatêjê","COVER","p","∅","r","o"
302,"Parkatêjê","WIFE","p","∅","r","õ"
303,"Parkatêjê","MACAW","p","ə","n","∅"
304,"Parkatêjê","SUN","p","y","t","∅"
305,"Parkatêjê","GO (PLURAL)","m","õ","n","∅"
306,"Parkatêjê","SEE","p","u","p","u"
307,"Parkatêjê","NECK","p","u","t","∅"
308,"Parkatêjê","GOOD","p","e","j","∅"
309,"Parkatêjê","HONEY","p","e","n","∅"
310,"Parkatêjê","THROW","m","ẽ","n","∅"
311,"Parkatêjê","WALK (SINGULAR)","p","∅","r","a"
312,"Parkatêjê","THROW (SINGULAR)","k","a","p","a"
313,"Parkatêjê","WHISTLE","k","ə","r","∅"
314,"Parkatêjê","NON-INDIGENOUS","k","u","p","ẽ"
315,"Parkatêjê","SCRATCH","k","a","c","u"
316,"Parkatêjê","BLOW","t","a","p","ê"
317,"Parkatêjê","MOVE UP","∅","ə","p","i"
318,"Parkatêjê","KILL (SINGULAR)","p","ĩ","r","∅"
319,"Parkatêjê","DIE","t","y","k","∅"
320,"Parkatêjê","GO OUT","k","a","t","o"
321,"Parkatêjê","BE BORN","k","a","t","o"
322,"Parkatêjê","PISS","∅","i","t","u"
323,"Parkatêjê","ROTTEN","k","∅","ɾ","ɔ"
324,"Parkatêjê","GO (SINGULAR)","t","ẽ","n","∅"
325,"Parkatêjê","BURN","c","ê","t","∅"
326,"Parkatêjê","SQUEEZE","j","a","t","ê"
